location1Name,location2Name,travelTimeMinutes,travelDistanceKilometers
"Almelo, emplacement",Koole Vondelingenweg,135,200
"Almelo, emplacement","Krefeld Linn, emplacement",114,160
"Almelo, emplacement","Lage Zwaluwe, emplacement",129,195
"Almelo, emplacement","Leusden, PON",73,107
"Almelo, emplacement",Ludwigshafen-Oggersheim,279,435
"Almelo, emplacement","Maasvlakte, emplacement",151,229
"Almelo, emplacement",Magdeburg Hbf,241,386
"Almelo, emplacement","Marl-Sinsen, emplacement",88,117
"Almelo, emplacement",Matrans Rotterdam Terminal,144,201
"Almelo, emplacement","Moerdijk, emplacement",134,199
"Almelo, emplacement",Moers,105,148
"Almelo, emplacement","Neuss, guterbahnhof",121,173
"Almelo, emplacement","Nijmegen, emplacement",84,108
"Almelo, emplacement",NWB terminal,109,162
"Almelo, emplacement",OBA,107,160
"Almelo, emplacement","Oberhausen West, emplacement",88,133
"Almelo, emplacement","Oldenzaal, emplacement",28,27
"Almelo, emplacement","Onnen, emplacement noordingang",82,111
"Almelo, emplacement","Onnen, emplacement zuidingang",78,107
"Almelo, emplacement",Opladen,124,186
"Almelo, emplacement","Oss, terminal OOC",90,127
"Almelo, emplacement","Pernis, emplacement",134,199
"Almelo, emplacement",Rheine,53,68
"Almelo, emplacement","Rheinhausen, emplacement",108,149
"Almelo, emplacement","Roosendaal, emplacement",143,215
"Almelo, emplacement",RWG,156,231
"Almelo, emplacement","Sittard, emplacement",153,230
"Almelo, emplacement",Sloehaven empl.,181,279
"Almelo, emplacement",Steinweg Amsterdam,108,162
"Almelo, emplacement",Stroe,59,84
"Almelo, emplacement",Stuttgart,350,556
"Almelo, emplacement","Tilburg, industrie",116,167
"Almelo, emplacement","Uitgeest, emplacement",118,173
"Almelo, emplacement","Valburg, emplacement CUP",74,108
"Almelo, emplacement","Venlo, emplacement",119,176
"Almelo, emplacement","Viersen, guterbahnhof",130,190
"Almelo, emplacement","Vlissingen Sloe, emplacement",181,279
"Almelo, emplacement",Vopak-Sloe,182,279
"Almelo, emplacement","Waalhaven, emplacement",130,196
"Almelo, emplacement","Waalhaven, kantoor RFO",132,197
"Almelo, emplacement","Westhaven, emplacement",106,159
"Almelo, emplacement",Zevenaar grens,69,95
"Almelo, emplacement","Zutphen, emplacement",46,56
"Amersfoort, emplacement sp.12","Amersfoort, remise Strukton",5,2
"Amersfoort, emplacement sp.12",Amsterdam Centraal,48,56
"Amersfoort, emplacement sp.12",Amsterdam Westhaven,45,59
"Amersfoort, emplacement sp.12",Amsterdam Westhaven West,48,63
"Amersfoort, emplacement sp.12",APMT,92,127
