location1Name,location2Name,travelTimeMinutes,travelDistanceKilometers
"Broere, Sam","Gekkengraaf, emplacement",92,139
"Broere, Sam",Germersheim,304,498
"Broere, Sam",Goes,102,147
"Broere, Sam","Hengelo, emplacement",90,130
"Broere, Sam","Herzogenrath, station",129,189
"Broere, Sam",Holland Cargo Terminal,46,60
"Broere, Sam","Houtrakpolder, emplacement",42,57
"Broere, Sam","IJsselmonde, emplacement",46,60
"Broere, Sam","Kaldenkirchen, station",98,149
"Broere, Sam","Kijfhoek, emplacement",47,65
"Broere, Sam","Köln Eifeltor, emplacement",149,235
"Broere, Sam",Koole Vondelingenweg,54,73
"Broere, Sam","Krefeld Linn, emplacement",119,179
"Broere, Sam","Lage Zwaluwe, emplacement",52,72
"Broere, Sam","Leusden, PON",24,25
"Broere, Sam",Ludwigshafen-Oggersheim,286,451
"Broere, Sam","Maasvlakte, emplacement",73,102
"Broere, Sam",Magdeburg Hbf,305,497
"Broere, Sam","Marl-Sinsen, emplacement",118,185
"Broere, Sam",Matrans Rotterdam Terminal,65,75
"Broere, Sam","Moerdijk, emplacement",58,75
"Broere, Sam",Moers,111,167
"Broere, Sam","Neuss, guterbahnhof",128,196
"Broere, Sam","Nijmegen, emplacement",63,85
"Broere, Sam",NWB terminal,42,52
"Broere, Sam",OBA,42,52
"Broere, Sam","Oberhausen West, emplacement",97,154
"Broere, Sam","Oldenzaal, emplacement",94,140
"Broere, Sam","Onnen, emplacement noordingang",125,189
"Broere, Sam","Onnen, emplacement zuidingang",121,185
"Broere, Sam",Opladen,132,208
"Broere, Sam","Oss, terminal OOC",55,74
"Broere, Sam","Pernis, emplacement",51,70
"Broere, Sam",Rheine,119,179
"Broere, Sam","Rheinhausen, emplacement",116,171
"Broere, Sam","Roosendaal, emplacement",69,92
"Broere, Sam",RWG,77,103
"Broere, Sam","Sittard, emplacement",107,157
"Broere, Sam",Sloehaven empl.,108,158
"Broere, Sam",Steinweg Amsterdam,43,54
"Broere, Sam",Stroe,37,49
"Broere, Sam","Tilburg, industrie",57,75
"Broere, Sam","Uitgeest, emplacement",53,74
"Broere, Sam","Valburg, emplacement CUP",53,75
"Broere, Sam","Venlo, emplacement",97,143
"Broere, Sam","Viersen, guterbahnhof",117,169
"Broere, Sam","Vlissingen Sloe, emplacement",108,159
"Broere, Sam",Vopak-Sloe,109,157
"Broere, Sam","Waalhaven, emplacement",50,71
"Broere, Sam","Waalhaven, kantoor RFO",53,71
"Broere, Sam","Westhaven, emplacement",40,51
"Broere, Sam",Zevenaar grens,55,76
"Broere, Sam","Zutphen, emplacement",67,88
"de Kleijn, T.",Acht,69,99
"de Kleijn, T.","Almelo, emplacement",124,189
"de Kleijn, T.","Amersfoort, emplacement sp.12",64,87
"de Kleijn, T.","Amersfoort, remise Strukton",62,85
"de Kleijn, T.",Amsterdam Centraal,70,92
"de Kleijn, T.",Amsterdam Westhaven,64,90
